PIN:MEMLATENCIES 1.0. 0x0
#
# DCACHE stats
#
# L1 Data Cache:
# Load-Hits:            100031626  100.00%
# Load-Misses:               2479    0.00%
# Load-Accesses:        100034105  100.00%
# 
# Store-Hits:               28701   88.85%
# Store-Misses:              3603   11.15%
# Store-Accesses:           32304  100.00%
# 
# Total-Hits:           100060327   99.99%
# Total-Misses:              6082    0.01%
# Total-Accesses:       100066409  100.00%

#
# LOAD stats
#
NumItems 3313
DATA:START
#  counters
# iaddr          : dcache:miss        dcache:hit
0x00000000004003ac:            1            0
0x00000000004003b8:            0            0
0x00000000004003c1:            0            1
0x00000000004003d0:            0            2
0x00000000004003d6:            0            1
0x00000000004003e0:            1            0
0x00000000004003e6:            0            1
0x0000000000400405:            0            1
0x000000000040040d:            0            1
0x000000000040040e:            0            1
0x0000000000400424:            0            1
0x0000000000400435:            0            1
0x0000000000400445:            0            1
0x0000000000400446:            0            1
0x0000000000400465:            1            0
0x0000000000400482:            0            1
0x0000000000400483:            0            1
0x00000000004004a0:            1            0
0x00000000004004a9:            0            1
0x00000000004004ad:            0            1
0x00000000004004b2:            0            1
0x00000000004004b3:            0            1
0x00000000004004ba:            0            1
0x00000000004004c0:            1            0
0x00000000004004d4:            0            0
0x00000000004004dd:            0            0
0x00000000004004ed:            0            1
0x00000000004004f1:            0            1
0x00000000004004f3:            0            1
0x00000000004004f5:            0            1
0x00000000004004f7:            0            1
0x000000000040053c:         1250         8750
0x0000000000400552:         1251         8749
0x00000000004005b0:           52     50004948
0x00000000004005dc:           56     50004944
0x0000000000400611:            1            0
0x0000000000400612:            0            1
0x0000000000400614:            0            1
0x0000000000400616:            0            1
0x0000000000400618:            0            1
0x0000000000400619:            0            1
0x0000000000400620:            0            1
0x0000000000400625:            0            1
0x000000000040062a:            0            1
0x000000000040062f:            0            1
0x0000000000400638:            0            1
0x0000000000400640:            0            1
0x000000000040064e:            0            1
0x0000000000400669:            2            0
0x000000000040067a:            0            1
0x000000000040067b:            0            1
0x000000000040067c:            0            1
0x000000000040067e:            0            1
0x0000000000400680:            0            1
0x0000000000400682:            0            1
0x0000000000400684:            0            1
0x000000000040069c:            0            1
0x00007fd796b363d0:            0            2
0x00007fd796b363d6:            0            1
0x00007fd796b36420:            1            0
0x00007fd796b36426:            0            1
0x00007fd796b38980:            0            1
0x00007fd796b38982:            1            0
0x00007fd796b38988:            0            1
0x00007fd796b3898b:            0            1
0x00007fd796b389ae:            0            1
0x00007fd796b389b9:            0            1
0x00007fd796b389be:            0            1
0x00007fd796b389cc:            0            1
0x00007fd796b389e3:            0            1
0x00007fd796b389ea:            0            1
0x00007fd796b38a41:            1            0
0x00007fd796b38a4f:            0            1
0x00007fd796b38a56:            0            1
0x00007fd796b38a63:            0            1
0x00007fd796b38a76:            1            0
0x00007fd796b38a84:            0            1
0x00007fd796b38a8b:            0            1
0x00007fd796b38a8c:            0            1
0x00007fd796b38a99:            0            1
0x00007fd796b38a9a:            0            1
0x00007fd796b38aa1:            0            1
0x00007fd796b38aa3:            0            1
0x00007fd796b38be0:            0            1
0x00007fd796b38be7:            1            0
0x00007fd796b38bfc:            0            0
0x00007fd796b38c03:            0            1
0x00007fd796b38c20:            0            1
0x00007fd796b38c22:            0            1
0x00007fd796b38c27:            0            1
0x00007fd796b38c2b:            0            1
0x00007fd796b38c33:            1            0
0x00007fd796b38c43:            0            0
0x00007fd796b38c4d:            0            0
0x00007fd796b38c57:            1            0
0x00007fd796b38c65:            1            0
0x00007fd796b38c6c:            0            1
0x00007fd796b38c73:            0            1
0x00007fd796b38c80:            0            1
0x00007fd796b38c88:            1            0
0x00007fd796b38c92:            0            1
0x00007fd796b38cb5:            1            3
0x00007fd796b38cd6:            0            1
0x00007fd796b38ce2:            0            1
0x00007fd796b38cfa:            1            0
0x00007fd796b38d07:            1            0
0x00007fd796b38d0e:            0            1
0x00007fd796b38d2a:            0            1
0x00007fd796b38d37:            0            1
0x00007fd796b38d3e:            0            1
0x00007fd796b38d43:            0            1
0x00007fd796b38d4c:            0            1
0x00007fd796b38d4d:            0            1
0x00007fd796b38d4e:            0            1
0x00007fd796b38d50:            0            1
0x00007fd796b38d52:            0            1
0x00007fd796b38d58:            1            0
0x00007fd796b38d5f:            1            0
0x00007fd796b38d69:            0            1
0x00007fd796b38d6c:            1            0
0x00007fd796b38d73:            0            1
0x00007fd796b38d7d:            0            0
0x00007fd796b38dd0:            0            1
0x00007fd796b38dd2:            0            1
0x00007fd796b38dd4:            0            1
0x00007fd796b38dd6:            0            1
0x00007fd796b38dda:            0            1
0x00007fd796b38de2:            0            1
0x00007fd796b38de9:            0            1
0x00007fd796b38dee:            0            1
0x00007fd796b38df2:            0            1
0x00007fd796b38e00:            0            0
0x00007fd796b38e13:            1            0
0x00007fd796b38e1e:            0            1
0x00007fd796b38e23:            0            1
0x00007fd796b38e2a:            0            1
0x00007fd796b38e40:            1            0
0x00007fd796b38e47:            0            1
0x00007fd796b38e4c:            0            1
0x00007fd796b38e50:            1            0
0x00007fd796b38e53:            0            1
0x00007fd796b38e55:            0            1
0x00007fd796b38e5c:            1            0
0x00007fd796b38e78:            0            1
0x00007fd796b38e81:            1            0
0x00007fd796b38e8a:            0            1
0x00007fd796b38e8f:            1            0
0x00007fd796b38e98:            0            1
0x00007fd796b38ea2:            0            1
0x00007fd796b38eab:            0            1
0x00007fd796b38eb2:            0            1
0x00007fd796b38eb7:            0            1
0x00007fd796b38ebb:            0            1
0x00007fd796b38ebe:            0            1
0x00007fd796b38ec3:            0            1
0x00007fd796b38ec7:            0            1
0x00007fd796b39102:            0            1
0x00007fd796b3910b:            0            1
0x00007fd796b39139:            0            1
0x00007fd796b3914b:            0            1
0x00007fd796b39151:            0            1
0x00007fd796b39157:            0            1
0x00007fd796b3915d:            0            1
0x00007fd796b39163:            0            1
0x00007fd796b39184:            0            1
0x00007fd796b3918a:            0            1
0x00007fd796b39190:            0            1
0x00007fd796b39197:            0            1
0x00007fd796b39198:            0            1
0x00007fd796b39229:            0            2
0x00007fd796b39239:            0            0
0x00007fd796b39243:            0            1
0x00007fd796b39250:            0            0
0x00007fd796b39269:            0            1
0x00007fd796b3928e:            0            1
0x00007fd796b39294:            0            1
0x00007fd796b3929a:            0            1
0x00007fd796b39323:            1            1
0x00007fd796b46ff0:            0            1
0x00007fd796b46ff7:            1            0
0x00007fd796b46ffe:            1            0
0x00007fd796b47002:            1            0
0x00007fd796b47005:            1            0
0x00007fd796b47009:            0            1
0x00007fd796b47014:            1            0
0x00007fd796b47018:            1            0
0x00007fd796b47026:            0            1
0x00007fd796b4702a:            0            1
0x00007fd796b4702e:            0            1
0x00007fd796b4703c:            0            1
0x00007fd796b47040:            0            1
0x00007fd796b4d970:            0            1
0x00007fd796b4d976:            0            1
0x00007fd796b4d983:            0            1
0x00007fd796b4d987:            0            1
0x00007fd796b4d98b:            0            1
0x00007fd796b4d98f:            0            1
0x00007fd796b4d993:            0            1
0x00007fd796b4d99c:            0            1
0x00007fd796b4d9a9:            0            1
0x00007fd796b4d9ad:            0            1
0x00007fd796b4d9b1:            0            1
0x00007fd796b4d9be:            0            1
0x00007fd796b4d9d4:            0            1
0x00007fd796b4d9e2:            0            0
0x00007fd796b4d9ef:            0            1
0x00007fd796b4d9f4:            0            1
0x00007fd796b4d9f5:            0            1
0x00007fd796b53070:            0            1
0x00007fd796b53072:            0            1
0x00007fd796b53077:            0            1
0x00007fd796b5307b:            0            1
0x00007fd796b53082:            0            1
0x00007fd796b53087:            1            0
0x00007fd796b53090:            1            1
0x00007fd796b530a9:            0            1
0x00007fd796b530ad:            0            1
0x00007fd796b530cf:            0            1
0x00007fd796b530d6:            1            0
0x00007fd796b530f8:            1            1
0x00007fd796b53106:            0            1
0x00007fd796b53130:            0            1
0x00007fd796b53134:            0            1
0x00007fd796b5313e:            0            1
0x00007fd796b53147:            0            1
0x00007fd796b53190:            0            1
0x00007fd796b531f0:            0            1
0x00007fd796b531f8:            0            1
0x00007fd796b53200:            1            0
0x00007fd796b53209:            0            0
0x00007fd796b53219:            1            1
0x00007fd796b53226:            1            0
0x00007fd796b53240:            1            0
0x00007fd796b53287:            0            1
0x00007fd796b5328a:            0            1
0x00007fd796b532c2:            0            1
0x00007fd796b532c9:            1            1
0x00007fd796b532d1:            0            1
0x00007fd796b532da:            0            0
0x00007fd796b532e9:            0            2
0x00007fd796b532fc:            0            1
0x00007fd796b532fd:            0            1
0x00007fd796b532fe:            0            1
0x00007fd796b53308:            0            1
0x00007fd796b533b0:            0            1
0x00007fd796b533b5:            0            1
0x00007fd796b533b9:            0            1
0x00007fd796b533c4:            0            1
0x00007fd796b533d1:            0            1
0x00007fd796b533d5:            0            1
0x00007fd796b533d9:            0            1
0x00007fd796b533e6:            0            1
0x00007fd796b533ea:            0            1
0x00007fd796b533f3:            0            1
0x00007fd796b533f4:            0            1
